"words","storyline","acting","visual"
"story",0.0227320125130344,0.000175489909330214,0.000663197632894603
"hero",0.0102189781021898,0.000116993272886809,0.000153045607591062
"world",0.00782064650677789,0.00204738227551916,0.00117334965819814
"character",0.00761209593326382,0.0064931266452179,0.0018875624936231
"audience",0.00610010427528676,0.000818952910207663,0.000663197632894603
"ofthe",0.00578727841501564,0.00228136882129278,0.000765228037955311
"scene",0.0056830031282586,0.0147996490201813,0.00341801856953372
"characters",0.00510948905109489,0.00274934191284001,0.00153045607591062
"time",0.00307612095933264,0.00625914009944428,0.00357106417712478
"line",0.00291970802919708,0.00064346300087745,0.00051015202530354
"change",0.00229405630865485,0.000584966364434045,0.000663197632894603
"house",0.00229405630865485,0.000116993272886809,0.00025507601265177
"michael",0.00229405630865485,0.00111143609242469,0.000102030405060708
"action",0.00224191866527633,0.00105293945598128,0.00132639526578921
"main",0.00224191866527633,0.000233986545773618,0.000612182430364249
"dialogue",0.00218978102189781,0.000350979818660427,0.000102030405060708
"steps",0.00213764337851929,0.000116993272886809,0.00025507601265177
"structure",0.00213764337851929,0.000292483182217023,0.000153045607591062
"technique",0.00213764337851929,0.00116993272886809,0.00117334965819814
"life",0.00208550573514077,0.00345130155016087,0.000153045607591062
"george",0.00203336809176225,0.000233986545773618,0.000102030405060708
"key",0.00203336809176225,0.000409476455103832,0.00127538006325885
"values",0.00172054223149114,0.000116993272886809,0.000612182430364249
"human",0.00156412930135558,0.000175489909330214,0.000357106417712478
"people",0.00156412930135558,0.0012869260017549,0.000918273645546373
"scenes",0.00156412930135558,0.00175489909330214,0.000867258443016019
"form",0.00151199165797706,0.000350979818660427,0.00051015202530354
"beginning",0.00145985401459854,0.00146241591108511,0.000102030405060708
"doesnt",0.00140771637122002,0.00122842936531149,0.000408121620242832
"makes",0.00140771637122002,0.000584966364434045,0.000459136822773186
"dont",0.00130344108446298,0.00157940918397192,0.00025507601265177
"person",0.00130344108446298,0.000526469727990641,0.000714212835424957
"drive",0.00125130344108446,0.000292483182217023,0.000306091215182124
"chapter",0.00119916579770594,0.000701959637320854,0.000459136822773186
"create",0.00119916579770594,0.00146241591108511,0.00214263850627487
"elements",0.00119916579770594,0.000994442819537876,0.00214263850627487
"moment",0.00119916579770594,0.00116993272886809,0.000153045607591062
"sense",0.00119916579770594,0.00157940918397192,0.000153045607591062
"techniques",0.00119916579770594,0.000818952910207663,0.00219365370880522
"city",0.00114702815432742,0.000467973091547236,0.000153045607591062
"goal",0.00114702815432742,0.000701959637320854,0.000408121620242832
"ii",0.00114702815432742,0.000584966364434045,0.00025507601265177
"takes",0.00114702815432742,0.00105293945598128,0.000459136822773186
"true",0.00114702815432742,0.000233986545773618,0.000357106417712478
